2	1	0	8	0	0	0	0	2	1	0	0	0	0	0	0	34	17	0	61	0	0	2512	0	0	233	1	3	3	0	0	0	12	0	0	9	0	0	0	2	0	0	2045	11	0	174	157	0	2	9	14	187	2	39	6	7	0	0	0	8	0	0	0	0	0	13	0	0	2	2	2	7	1	0	8	3	0	2	0	0	10	0	7	0	0	0	3	9	0	0	0	0	56	0	0	0	7	3	0	2	0	0	0	0	0	0	0	0	76	0	2	0	0	0	9	14	5	0	1	2	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	5	5	0	0	1	0	0
2	0	0	7	0	0	3	0	1	1	0	0	0	0	0	0	42	2	0	28	0	4	3528	0	2	227	0	4	5	0	35	0	1	0	0	0	0	0	0	0	0	0	4441	28	0	139	178	0	2	7	12	128	0	35	1	5	0	1	0	0	2	0	0	0	0	25	0	0	7	0	0	0	0	0	22	0	0	0	0	0	4	4	2	0	0	0	5	15	0	0	0	0	46	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	49	0	0	0	0	0	6	6	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	42	0	3	40	37	4	9	0	0	0	0	0	0	22	25	0	36	0	0	4423	1	1	243	0	6	6	3	17	0	9	0	0	1	1	0	0	1	0	0	4401	28	0	111	179	0	1	17	20	169	8	56	5	5	0	0	0	3	1	0	0	0	0	15	0	0	0	1	4	7	0	0	20	0	0	0	0	0	11	2	5	0	0	0	6	17	0	0	0	0	38	1	0	0	5	0	0	0	0	0	0	0	4	0	0	0	71	0	4	0	0	0	3	25	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	4	0	0	1
38	38	0	38	1	2	38	0	63	24	0	0	0	1	0	0	35	33	0	12	0	13	3343	2	0	331	0	2	6	0	33	0	10	0	0	0	2	0	0	1	0	2	5136	37	0	142	147	0	10	6	5	121	0	64	5	3	0	5	0	0	0	0	0	4	0	13	0	9	13	0	6	8	0	0	34	0	0	0	0	0	1	4	2	0	3	0	0	29	0	0	0	0	75	0	0	0	7	0	0	2	0	0	0	2	7	0	0	0	88	0	0	0	0	0	6	14	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	3	0	0	1
7	38	0	32	0	0	40	2	5	79	0	0	0	0	0	0	24	28	0	42	0	5	4202	0	5	223	0	1	2	0	21	0	8	0	0	6	0	0	0	0	0	1	18985	43	0	95	140	0	12	0	9	123	7	55	1	5	0	0	0	0	0	1	0	2	0	5	0	1	0	0	1	1	0	0	12	0	2	0	0	0	3	2	1	0	0	0	9	40	0	0	0	0	76	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	51	0	0	0	0	0	1	11	3	0	0	0	0	0	1	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	2	0	0
4	2	0	27	0	1	5	1	38	7	0	0	0	0	1	0	45	2	0	7	0	17	3163	2	1	308	1	6	6	0	0	0	5	0	0	0	0	0	0	0	0	0	12166	64	0	129	195	0	3	8	17	152	0	82	7	4	0	0	0	0	6	3	4	0	0	8	0	0	10	0	0	6	1	0	44	0	1	0	0	0	1	0	0	0	0	0	0	28	0	0	0	0	74	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	9	13	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
36	7	0	46	2	3	2	1	4	13	1	0	0	2	0	0	58	28	0	76	0	2	10558	5	0	371	1	4	7	0	46	0	22	0	0	2	0	0	0	5	0	2	9674	73	0	115	240	0	11	12	13	232	0	47	3	13	3	0	1	0	2	0	0	15	0	23	0	0	21	0	0	19	3	0	16	0	0	0	0	0	7	0	0	0	0	0	15	37	0	0	9	0	79	0	0	1	8	0	0	0	0	0	0	0	8	0	0	0	92	0	2	0	0	0	4	21	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	1	0	30	1	0	4	0	0	4	0	0	0	0	0	0	28	12	0	20	0	0	1102	0	0	293	0	1	2	0	14	0	8	0	0	0	0	0	0	1	0	6	13867	16	0	49	210	2	6	3	6	124	0	55	0	1	3	0	0	11	0	0	3	5	0	22	3	0	2	0	2	0	0	0	20	0	0	0	0	0	16	0	4	0	0	0	0	13	0	0	0	0	49	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	58	0	0	0	0	0	9	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
6	2	0	26	15	3	2	0	1	6	0	0	0	0	0	0	45	21	0	29	0	0	1207	0	2	182	1	4	4	0	38	0	9	0	0	15	0	0	0	0	0	0	9593	18	0	72	232	1	0	7	14	131	0	47	2	2	0	0	0	17	0	1	0	6	0	12	0	0	6	0	0	24	0	0	22	0	0	0	0	0	1	0	1	0	0	0	8	62	0	0	0	0	70	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	63	0	2	0	0	0	7	22	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
58	0	0	16	1	0	3	2	0	7	0	0	0	0	1	0	18	31	0	48	0	6	2385	5	1	242	2	2	3	0	46	0	9	0	0	12	0	0	0	1	0	0	6335	64	0	139	198	0	0	2	17	130	0	54	2	3	0	0	0	11	1	0	0	3	0	8	0	0	2	0	0	0	0	0	34	0	2	0	0	0	15	0	4	0	0	0	2	33	0	0	0	0	58	0	0	0	4	0	0	3	0	0	0	2	3	0	0	0	68	0	0	0	0	0	4	24	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
