2	1	0	8	0	0	0
2	0	0	7	0	0	3
2	0	0	42	0	3	40
38	38	0	38	1	2	38
7	38	0	32	0	0	40
4	2	0	27	0	1	5
36	7	0	46	2	3	2
8	1	0	30	1	0	4
6	2	0	26	15	3	2
58	0	0	16	1	0	3
35	1	0	29	3	0	1
12	1	0	29	4	0	53
2	0	0	61	0	1	1
15	0	0	26	2	1	1
15	1	0	33	3	37	1
15	0	0	51	3	1	2
7	1	0	59	1	0	4
9	0	1	12	3	0	8
34	0	0	10	0	0	19
5	0	0	9	43	0	2
23	0	0	6	9	1	5
19	1	0	12	6	0	1
8	0	0	45	10	0	41
10	1	0	14	7	0	1
3	1	0	14	19	1	1
13	0	0	6	18	0	2
8	0	0	0	8	1	0
6	2	0	7	5	38	1
21	0	0	22	23	1	1
22	0	0	60	6	0	0
7	2	0	7	7	1	2
9	0	0	6	7	0	2
20	2	0	44	10	0	78
5	1	0	11	8	1	6
4	1	0	4	9	0	1
10	37	0	3	4	0	2
3	1	0	4	6	1	41
5	1	0	44	5	0	1
4	0	0	10	10	5	37
3	3	1	6	10	0	79
10	0	0	5	6	0	2
45	2	0	48	4	0	0
8	0	0	17	10	0	1
8	0	0	15	9	0	0
10	0	0	13	11	37	1
10	40	0	14	11	0	0
3	0	0	0	8	0	0
3	0	0	0	3	0	0
9	37	0	47	2	1	1
8	1	0	9	6	0	0
9	1	0	44	7	37	2
38	0	1	7	3	0	38
14	74	0	17	4	0	77
50	4	1	14	46	2	38
17	2	0	14	11	1	0
3	8	38	52	8	38	38
7	12	1	11	17	0	3
43	6	2	10	11	1	2
268	1	0	10	43	0	3
10	37	0	8	54	0	79
11	38	37	9	13	0	5
12	0	38	45	92	75	5
9	0	0	11	83	1	5
2	3	0	39	10	37	1
20	40	1	6	12	74	113
9	0	0	4	16	0	3
5	17	11	1	16	0	3
2	2	5	41	7	0	75
4	41	46	2	79	1	3
1	77	5	3	87	38	75
2	42	74	3	84	37	38
3	1	83	3	41	37	37
1	39	43	1	88	37	38
5	81	84	39	126	150	76
4	40	75	1	43	1	150
4	151	41	3	160	0	75
1	75	116	3	82	191	75
77	42	83	2	16	37	74
44	84	119	111	125	39	3
41	197	119	40	211	76	296
4	47	7	1	18	187	112
48	76	118	75	89	75	335
2	119	6	1	122	38	262
39	80	39	4	54	38	154
2	46	42	41	97	76	230
1	118	114	2	124	114	39
5	78	232	41	78	39	227
41	189	9	3	123	111	82
0	123	12	41	207	76	192
0	199	43	38	175	148	76
3	241	232	75	325	111	185
1	304	267	38	312	151	74
0	197	283	76	207	111	557
150	192	242	113	278	410	190
1	115	344	114	275	185	152
38	231	166	40	240	297	297
38	152	218	78	164	296	43
38	455	161	40	390	447	112
39	163	253	39	207	260	77
79	228	247	2	235	153	191
3	155	361	148	131	298	151
37	234	147	113	276	261	38
1	82	320	39	56	191	338
4	321	190	0	257	223	300
41	422	172	3	318	228	261
39	459	128	114	540	157	192
41	341	175	42	428	150	117
117	234	553	1	355	113	112
2	311	250	53	329	297	224
115	461	79	113	393	43	113
5	271	215	74	280	37	77
42	377	214	39	458	76	263
1	231	137	38	312	112	409
53	493	146	39	537	38	188
39	307	183	115	320	39	264
113	255	118	1	264	186	277
75	277	282	37	358	77	507
0	274	256	150	240	39	319
4	303	330	75	238	113	201
41	194	205	37	128	112	303
2	419	293	187	349	39	347
1	160	375	37	307	150	154
81	156	194	113	314	116	456
54	307	345	262	292	185	226
77	377	331	1	466	297	305
0	234	403	111	278	78	891
41	204	289	76	286	114	412
8	200	140	2	219	78	133
90	283	243	1	250	224	381
80	312	138	74	175	2	308
13	256	188	78	115	334	446
6	401	306	37	359	66	591
9	424	200	3	526	1	302
48	352	251	75	368	42	124
48	274	154	0	263	56	278
6	100	161	78	127	82	88
96	308	206	42	410	75	8
7	122	138	38	242	2	86
