0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
45.54919,-62.119076,-6.114992,54.53531,-14.164678,57.39325,-5.3706303,4.231483,-0.092376895,624.08014,-0.11573184,148.11473,3.3467844,11.579432,74.69649,-0.026785545,247.69057,126.45803,28.004444,116.3842,2.016678,32.876877,30157.371,16.36245,17.032194,863.04724,25.921614,15.904121,23.14336,6.9900594,79.92417,-0.0052265017,40.634228,2.1806498,-0.02265265,32.945213,121.264465,-0.010331073,0.018541265,15.885718,12.523523,1.4442382,26638.56,37.387035,419.04968,314.8078,1158.3806,4.204451,18.240166,449.1809,70.72194,692.667,24.55014,236.32222,38.44503,17.166716,19.735504,0.702949,1.3426471,30.426355,2.061672,1.356197,1.9463296,30.12312,64.86619,50.170567,-0.19806957,3.612281,29.746008,0.4477495,3.0287468,35.771873,9.956995,9.087057,44.91636,1.4169309,7.918041,5.8265295,3.1237376,-0.00021221748,17.630222,0.6382682,12.913951,0.6451895,4.8065214,-0.27966088,11.594139,170.89674,3.082697,0.11568914,2.8076289,0.039822582,336.4369,4.888642,-0.12902726,1.9507582,13.491973,0.16145118,0.12607652,5.65947,0.23079275,5.3595333,0.13167131,1.4162197,9.8276005,0.7444026,0.00016908601,0.0015678955,193.46101,0.44759318,0.86811316,0.108989745,1.8901672,-1.6725339,18.970522,42.93883,8.98215,1.0534397,1.6739117,5.465356,-0.0053906026,-0.5518479,16.806412,6.4781423,0.3742986,3.5249667,4.4531317,-0.11179196,0.5711165,0.896762,-0.9312227,0.19282882,1.6880177,1.6967416,12.01337,7.155645,3.6964073,10.628837,2.454518,7.2959375,0.05501621,20.201426
42.102455,99.4167,10.327985,44.303036,39.51711,-2.0333548,-31.562683,6.174973,-0.21256651,-30.8998,0.0783499,139.74167,1.9126055,33.7533,104.580696,-0.08241177,212.80219,126.44824,24.901564,117.47153,1.5626533,32.51026,31108.842,13.0205555,17.591492,808.8079,8.824079,15.7487,21.70849,6.856906,77.91217,-0.03169307,39.397335,1.7843583,-0.03096799,33.471024,102.42004,0.010779416,0.039484948,11.945728,18.626705,1.5836382,25207.105,38.637997,-414.2778,323.76566,1255.3142,4.1485796,17.204735,433.90186,76.24548,689.2838,24.708254,222.68344,36.775528,15.568658,14.85229,0.94801825,1.1596048,31.916655,1.9069724,0.99616814,1.7773662,25.821795,65.90585,48.176163,-0.2183147,3.5447779,31.003942,0.5264353,3.0113888,34.743355,4.9851837,7.666818,46.956116,1.1325626,8.912453,4.948756,3.0378783,-0.00090157695,13.944959,0.3003098,12.869475,0.5279156,4.209563,-0.24044524,5.7107797,191.12787,2.6103287,0.076289356,2.9818985,0.028120346,363.57602,5.5832663,-0.15492928,2.2413402,13.680616,0.011610442,0.79520917,3.343975,0.2220333,6.543041,0.27494112,1.1516173,8.386392,0.6770048,-0.0007983096,-0.0019855474,183.20059,0.30410546,0.8853845,0.07883947,1.5810359,-1.3608662,18.669231,42.66688,9.7507,0.8830778,1.4722761,5.3049498,-0.07445123,-1.1604332,17.364666,6.775674,-0.09559267,3.2454028,3.2188225,-0.1434274,0.20685382,0.9652779,-0.9762909,0.09293088,1.3494726,1.8835816,10.420575,7.0110774,2.444088,31.486881,3.2460191,7.1672764,0.057682876,17.0215
36.010654,-26.90631,25.745813,40.983753,31.422766,15.85095,-17.668873,7.441368,-0.2749717,212.5405,0.057965387,104.59651,1.1522498,11.879125,35.48282,0.02042862,244.12564,129.78822,26.812174,117.5009,1.1821876,37.15875,33256.816,15.125864,18.393513,827.3647,33.51079,16.734217,22.006826,6.858659,71.47382,0.0120441485,38.25441,1.2833679,-0.04132414,32.30542,77.619705,0.006652695,0.020514892,10.005771,19.918886,1.6823364,23823.43,38.45063,-869.94617,321.02707,1192.6648,3.7857442,15.491173,414.59802,71.92202,705.96423,25.491241,202.03973,35.920605,14.317855,14.242782,1.3813174,0.94257313,33.77576,1.7496842,0.9105551,1.7482821,27.475632,68.99383,46.340786,-0.25589007,4.2041116,33.74648,0.55351096,3.100408,33.71909,6.5948486,10.365807,45.78738,0.93053627,9.084601,3.6318789,7.0038085,-0.001012876,14.17463,0.22355929,12.289187,0.24633652,3.8714254,-0.13201173,5.873109,197.13776,3.0208983,0.096850365,3.2332492,0.012379101,386.6345,5.7620106,-0.14838798,1.6383401,13.568006,-0.38453713,0.40733317,3.4980881,0.21652156,7.7286925,0.31094825,1.17388,8.470655,0.43616757,-0.00055257056,0.0024483488,169.21602,0.15181148,1.4153024,0.056634907,1.5593034,-1.0608425,18.004053,42.53879,9.801784,0.70679516,1.1903086,5.714614,-0.22891529,-0.06866334,16.626083,5.376231,0.24532703,3.0998542,2.3048527,-0.15690438,0.103485405,1.0298858,-1.2810334,0.054564822,1.1816576,1.9208208,8.522225,7.596209,1.6383404,-29.492004,2.7926288,6.717537,0.06402401,15.991856
28.157383,-4.071163,51.06994,36.14925,78.626236,24.76708,-31.444914,7.8136234,-0.29610184,287.36346,0.027073354,95.89536,2.5874999,19.985147,18.42543,-0.1366356,230.90596,142.02623,22.192682,114.84335,0.9526622,39.294224,33871.46,16.206133,18.878126,798.05975,17.261187,17.099031,21.62363,4.4181004,66.82828,0.081676,36.776863,1.4009782,-0.05297668,31.56698,41.35988,0.0070091025,0.043383013,7.727258,15.186427,1.7439344,82323.586,38.26219,90.846115,320.91504,1221.3236,3.346363,14.877904,373.19376,72.25531,701.78827,28.078684,212.11868,33.889175,12.507543,11.446709,1.8496315,0.9144613,32.252075,1.6817883,0.71355677,1.5038611,25.95835,69.5563,47.953266,-0.075354524,4.3892374,34.07043,0.5022207,3.1128054,31.278557,4.7442183,15.173152,46.89402,0.5884241,8.919019,2.615712,2.1726973,-0.00067735463,12.120815,-0.008752756,12.059273,0.13039105,3.88446,-0.19175383,0.6935091,200.87836,3.12633,0.1705384,3.4736705,-0.010362506,423.55795,5.5674257,-0.15188462,1.3927014,12.470797,-1.2426564,-0.00084173604,2.3176212,0.18981102,9.090024,0.33922487,1.3708228,8.940356,0.3821924,-0.0014314828,-0.0027292417,178.52081,0.13746788,1.3212094,0.015127116,1.0604643,-0.8777477,17.742008,41.348785,9.275536,0.6827584,1.1007069,5.9113164,-0.44757918,-0.039202057,17.12832,4.202671,-0.06907108,3.0333028,1.3728395,-0.13225651,-0.1971551,1.2365594,-0.8459898,0.031249337,1.1668241,2.029046,7.0556393,7.3589125,0.7849752,0.0012113634,2.9812796,5.2208405,0.0657123,9.822957
24.528275,60.77034,7.579203,31.082075,70.88998,42.52455,-16.226898,7.559196,-0.28790244,317.28854,-0.030943327,75.30859,12.301254,-10.097684,-50.97228,-0.0043056956,235.03502,125.69517,25.179848,116.91131,0.45209667,46.375607,34913.125,13.978136,20.151276,858.3695,33.1638,15.494714,21.250154,5.753239,60.521698,0.030711742,34.312176,1.1122086,-0.050973542,29.747095,31.041681,0.008475959,0.0031362239,3.9991145,16.017532,1.8351458,16854.969,39.32684,424.0395,313.51648,1235.581,3.2756352,13.304369,470.33258,76.37402,712.59375,24.693794,230.4094,31.585926,11.444418,13.590756,2.2583616,0.81741565,29.914436,1.5886053,0.6027717,1.3900093,25.158068,70.05229,45.502243,0.061656352,4.372795,33.953197,0.3834259,3.259506,31.15633,4.225919,16.206253,45.46572,0.8212255,8.052198,1.4545019,-1.3412789,-0.0009284532,9.298086,-0.21632503,12.379925,0.20770004,4.082035,-0.13111298,1.691655,188.73238,2.8460271,0.1771781,3.421994,0.0019163728,422.6338,5.4355016,-0.12515022,1.7986133,11.194635,-1.5807087,0.28900152,1.1738276,0.17572236,9.472572,0.36009958,1.0387067,7.909553,0.22651222,0.001204526,-0.0028795644,192.63123,0.0037120257,1.5099964,-0.016879672,0.9760429,-0.46344686,17.365993,42.28091,9.785626,0.46416605,0.723667,5.972825,-0.2162558,-1.7175146,17.241436,3.6984475,0.7961082,3.1850998,1.0199137,-0.11871496,-0.19748946,1.2194152,-1.4645252,0.066561595,1.1773282,2.1245625,9.841915,7.5293083,-0.80077577,-18.456217,2.5774395,5.608003,0.048964746,8.127815
19.101604,9.641833,61.1217,24.594944,43.87797,68.61218,-32.66374,6.6082673,-0.13980383,710.7357,0.12855217,64.41592,14.358673,26.07191,49.955822,0.050882056,231.05453,127.45401,23.343992,115.00948,0.37471873,38.513607,40479.676,12.299685,17.525356,820.0738,51.175117,14.841303,21.409382,3.4806128,56.072548,0.016012864,34.036694,1.2932582,-0.050584838,28.555593,1.2549336,0.0005775865,0.04095321,3.730421,16.031942,1.8083218,82410.34,39.63381,-1333.7623,317.62186,1214.739,3.213732,12.481976,491.19742,74.010544,701.20544,24.708813,218.22586,31.369835,10.558391,16.106253,2.8216555,0.7635021,29.44891,1.4931014,0.598484,1.2344608,26.617619,69.2581,46.12852,0.169244,4.6572757,34.425583,0.4394623,3.3279126,29.641512,6.5246663,17.143744,46.15894,0.399796,7.507265,1.2384162,-2.9431024,-0.00018791843,6.714572,-0.41978735,13.54754,0.174047,3.125242,-0.30321056,5.4622517,203.89684,2.7265356,0.19773953,3.7556517,0.0027595023,444.1675,5.807251,-0.10597107,1.635108,10.075848,-1.894613,-0.01839813,1.2021114,0.16626824,10.034834,0.35549727,1.2328737,7.9506836,0.09256498,0.0007877022,0.002471426,188.63025,0.014852948,1.8505633,0.007405355,0.8910559,-0.023040924,17.230333,39.38053,9.77109,0.38363943,0.75926375,5.5194116,-0.24803919,-1.4572954,17.111956,3.0275455,0.66464067,2.8744733,0.5096547,-0.08607141,-0.28836632,1.4491836,-1.817051,0.04273215,1.3526758,2.2545834,7.576713,7.5365267,-1.1388453,-3.3639607,2.6242702,5.0143943,0.06791415,4.331499
12.364799,-45.077015,67.18654,16.57676,99.49434,42.53296,-17.541214,6.824342,0.041875917,730.91125,-0.029976845,32.81501,13.19319,7.4170656,25.749592,-0.009617008,249.35472,126.70803,29.933418,107.68191,-0.19643219,41.94044,40286.297,10.925997,18.623375,835.4121,23.347736,13.781951,21.554277,5.091095,54.499752,0.049250297,32.475872,1.0935395,-0.06366432,26.817778,-15.282287,0.006083993,0.05129536,-4.5407653,22.348274,1.856375,85469.49,39.866062,2.0945787,298.80624,1229.893,3.0163565,11.048589,371.5067,67.116806,687.8124,22.760944,241.5364,30.134766,9.562977,17.221283,3.465006,0.7844051,27.276457,1.3218217,0.6990346,1.0474204,26.010214,68.91421,45.77194,0.27427736,4.2205305,34.346928,0.49476302,3.4626417,31.07797,5.1990247,18.123972,44.303017,-0.2190314,7.7559204,1.3395003,3.963693,-0.00048162029,6.6947618,-0.070793726,14.164968,-0.27619356,2.962105,-0.24305233,3.9444163,188.02707,1.9143713,0.2506603,3.8083675,-0.02811552,468.66022,5.526044,-0.078962095,1.3179251,8.160666,-2.0972621,0.0424681,0.8645007,0.22478803,10.574447,0.37055176,1.3063284,8.694761,0.08055084,0.0018764721,-0.000624636,180.10732,-0.06890208,2.041151,0.00857937,0.5702403,-0.11700233,17.032507,38.172077,10.785254,0.22895966,0.6148349,5.8561034,-0.24697505,-1.855437,16.285774,1.9449887,0.8023709,3.5451553,0.2105248,-0.07880371,-0.30798104,1.4115103,-1.5281028,0.08755189,1.6713759,2.3580935,10.158707,7.484967,-1.0249455,-29.988686,2.4148555,5.861522,0.06298382,3.9772158
7.9053273,103.573616,96.37916,11.121906,74.214325,88.08003,-10.624058,7.8247447,0.12075378,1262.29,0.05605525,45.02865,11.321331,43.59719,-42.046917,0.095111065,276.293,118.035515,31.092194,109.32472,0.1402584,51.94194,41817.438,11.761049,14.743978,904.57983,18.718914,12.538681,20.388258,4.0301185,48.00223,-0.06513407,35.618866,1.0724883,-0.049855784,26.866621,-31.00105,-0.0028277,0.005803689,-4.310844,16.62169,2.092232,116909.41,40.065502,721.1585,300.49622,1247.536,3.0863123,10.226267,419.99338,79.261604,691.67395,19.772314,231.93195,28.665876,9.349646,14.270704,4.2176228,0.5809869,23.658686,1.1736983,0.8131429,1.0421169,25.46572,68.6305,45.525772,0.34576106,4.568565,33.99888,0.46206,3.6764503,31.16241,4.8625126,20.802734,45.41213,-0.2712087,8.13676,2.0418816,6.6704154,-0.00057793234,2.5038846,-0.32899237,14.590179,1.1233212,3.4906282,-0.27959225,1.4807063,200.12073,1.4809595,0.23986559,4.5709352,-0.005540638,446.27863,5.5849137,-0.051510602,1.3987081,8.939328,-2.5820074,-0.107418664,0.007637421,0.23295565,10.131715,0.3598496,1.1518329,8.445574,0.10972973,0.0029863105,-7.4756244e-06,194.418,-0.09358921,2.2141347,-0.0031989326,0.46497655,0.07156775,17.112123,34.91514,10.417902,0.07366282,0.54043895,6.466555,-0.31892684,-1.8686185,16.039227,1.7066373,0.71715546,3.9601233,0.8483939,-0.054475326,-0.4289743,1.483872,-1.1928664,0.050074767,2.3305569,2.419952,14.318349,7.6953506,-0.95220226,11.086086,2.7483852,5.5063763,0.07678087,2.6764796
2.4674573,-12.767703,82.55259,1.8034416,124.14909,70.71765,-52.81993,8.114991,-0.0030144788,1196.9033,0.15777336,38.14157,9.336579,37.815926,41.95434,-0.0047035594,270.54086,125.681854,36.85882,107.330826,0.24035534,51.552963,41883.98,12.526306,16.91548,855.2841,-24.337275,12.214782,21.305864,3.463241,49.69857,-0.049808804,39.271362,1.4729855,-0.05569065,25.75848,-26.11285,-0.006929125,-0.0135221835,-4.160253,22.967363,2.4357073,148965.31,38.95709,-632.1512,297.77856,1349.6613,3.0323665,8.680581,359.79514,77.99124,675.54877,18.479132,271.4337,28.011017,9.788102,12.9791765,4.551632,0.7845277,21.33149,1.0667683,1.0180919,1.2631985,28.863842,68.16417,45.304764,0.48745114,4.4096107,32.488792,0.702909,3.786474,30.976599,1.0582373,19.594873,42.514664,-0.38596472,6.1696815,2.566496,-2.6377993,-0.0007664052,3.496135,-0.14941855,16.17233,2.1507154,2.690965,-0.2516257,-3.5992742,213.15083,1.0209026,0.3247577,4.4769397,-0.035002537,425.4396,5.8279877,0.0037430858,1.0796293,7.6938367,-2.226752,-0.81398475,3.8225129,0.2409287,10.397608,0.3239498,1.2653402,9.46433,0.038009144,0.004359632,-0.002400058,185.97713,-0.25067502,2.622186,-0.042140476,0.5092731,-0.06775943,17.395782,34.647736,9.403756,-0.17018335,0.44484586,6.403273,-0.34610352,-2.4154665,16.720922,1.9304339,0.44944298,3.6926494,1.3916255,-0.058557346,-0.08229947,1.5620704,-1.390507,0.07370261,2.6309679,2.444948,18.6185,7.9769626,-1.4062696,10.58276,2.9665523,5.3986697,0.05590903,3.2377932
-2.5875146,4.092667,75.35698,4.47219,171.80988,21.345213,35.75,8.914422,0.17456256,1653.2426,0.15382767,33.562424,8.706212,51.73236,38.944748,-0.013387312,287.0282,110.70988,42.155502,106.830025,0.4874221,59.154663,44660.684,13.749312,16.635073,1017.43,33.1672,11.579446,21.252941,2.9142349,50.482162,-0.05596732,44.757645,0.9717343,-0.037069384,25.469713,-63.369755,-0.0052674827,0.0074010934,-5.504366,24.029202,2.488043,87631.62,39.327522,-979.26416,297.91052,1317.1016,2.9391053,8.695996,426.07684,79.818146,681.91986,16.098234,260.94724,27.627748,9.645005,19.41789,4.9934454,0.8458879,22.080614,0.9394465,0.9729776,1.1823742,29.65208,74.61835,44.868904,0.48101804,4.1994348,31.52398,0.47129935,3.688181,30.66336,1.1876318,21.66325,43.011017,-0.52176404,7.526178,3.953304,-5.4840426,-0.00073952257,9.275457,0.3291694,16.691576,3.452549,2.0167668,-0.20239337,-7.2270436,213.51314,1.1854192,0.3029283,4.4563656,-0.037272055,433.62207,5.563327,0.16358154,1.4299331,7.6326594,-2.2147505,-0.5499568,4.746126,0.27526325,10.19067,0.25574988,1.0014226,8.7448,0.10024857,0.0048998366,0.00207137,173.54369,-0.37418306,3.0658872,0.020945318,0.42129257,0.09562071,17.193813,33.9003,8.29116,-0.3182391,0.54746443,5.961312,-0.26121417,-1.3863863,16.703985,2.1322994,1.0225413,4.120611,1.9737887,-0.04164409,-0.11762064,1.4813573,-0.44559586,0.11657868,2.9708233,2.5926661,22.240776,7.574087,-1.621643,-22.422388,3.9177475,4.7677937,0.05447399,3.056411
